year,entidad,distrito,edo_dto,pp_gubernatura,PAN,PRI,PRD,PT,PVEM,MC,MORENA,f_rae,nep,volatilidad,,,
2024,bc,14,bc14,morena,3.67%,3.18%,1.07%,7.10%,4.39%,6.44%,67.69%,0.53,2.1,0.22,,,
2024,bc,15,bc15,morena,17.48%,5.17%,1.78%,5.09%,5.87%,9.68%,43.28%,0.76,4.1,0.1,,,
2024,bc,16,bc16,morena,14.79%,6.17%,2.09%,7.96%,3.61%,10.55%,43.60%,0.76,4.2,0.15,,,
2024,bc,17,bc17,morena,6.68%,4.75%,3.03%,6.27%,8.02%,4.81%,59.07%,0.63,2.7,0.18,,,
2019,bc,1,bc1,pan,25.91%,4.23%,3.18%,2.23%,2.19%,16.73%,40.24%,0.74,3.8,,,,
2019,bc,2,bc2,pan,30.42%,4.02%,2.38%,1.76%,1.57%,10.51%,39.23%,0.73,3.8,,,,
2019,bc,3,bc3,pan,34.18%,6.49%,2.59%,1.70%,1.59%,5.34%,35.78%,0.74,3.8,,,,
2019,bc,4,bc4,pan,22.31%,4.58%,2.07%,1.53%,1.87%,4.82%,37.17%,0.77,4.3,,,,
2019,bc,5,bc5,pan,22.87%,5.47%,2.51%,1.74%,2.47%,11.04%,43.86%,0.73,3.8,,,,
2019,bc,6,bc6,pan,20.93%,11.00%,6.55%,4.81%,2.76%,5.88%,40.15%,0.77,4.3,,,,
2019,bc,7,bc7,pan,14.90%,3.21%,13.51%,2.01%,6.48%,5.93%,47.10%,0.73,3.7,,,,
2019,bc,8,bc8,pan,23.11%,4.15%,14.10%,1.98%,2.65%,5.07%,42.62%,0.74,3.8,,,,
2019,bc,9,bc9,pan,24.75%,5.35%,12.18%,2.30%,1.80%,6.56%,34.72%,0.79,4.7,,,,
2019,bc,10,bc10,pan,24.52%,7.30%,12.39%,2.43%,1.97%,4.61%,40.53%,0.75,4,,,,
2019,bc,11,bc11,pan,17.24%,4.55%,15.27%,2.53%,2.43%,5.60%,42.29%,0.76,4.1,,,,
2019,bc,12,bc12,pan,13.04%,4.17%,14.00%,3.28%,3.77%,6.20%,48.49%,0.72,3.6,,,,
2019,bc,13,bc13,pan,14.91%,3.76%,16.81%,2.51%,2.57%,4.46%,49.29%,0.7,3.3,,,,
2019,bc,14,bc14,pan,10.87%,5.15%,14.45%,2.47%,3.01%,4.80%,54.13%,0.67,3,,,,
2019,bc,15,bc15,pan,26.25%,5.26%,4.54%,1.82%,3.08%,10.48%,41.04%,0.74,3.9,,,,
2019,bc,16,bc16,pan,15.84%,9.38%,2.57%,1.31%,6.24%,3.70%,34.32%,0.8,4.9,,,,
2019,bc,17,bc17,pan,17.83%,7.69%,5.14%,2.61%,6.49%,6.09%,46.13%,0.74,3.8,,,,
