year,entidad,distrito,edo_dto,pp_gubernatura,PAN,PRI,PRD,PT,PVEM,MC,MORENA,f_rae,nep,volatilidad,,,
2016,chih,2,chih2,pri,23.95%,0.00%,31.42%,0.00%,0.00%,0.00%,2.27%,0.81,5.3,,,,
2016,chih,3,chih3,pri,25.37%,0.00%,35.47%,0.00%,0.00%,0.00%,2.60%,0.78,4.6,,,,
2016,chih,4,chih4,pri,37.23%,0.00%,0.00%,0.00%,30.91%,0.00%,2.94%,0.74,3.8,,,,
2016,chih,5,chih5,pri,44.09%,0.00%,0.00%,0.00%,24.01%,0.00%,2.89%,0.72,3.5,,,,
2016,chih,6,chih6,pri,29.74%,0.00%,27.34%,0.00%,0.00%,0.00%,2.28%,0.81,5.1,,,,
2016,chih,7,chih7,pri,28.61%,0.00%,0.00%,26.13%,0.00%,0.00%,3.20%,0.8,5.1,,,,
2016,chih,8,chih8,pri,26.43%,0.00%,25.37%,0.00%,0.00%,0.00%,2.75%,0.82,5.7,,,,
2016,chih,9,chih9,pri,27.84%,0.00%,23.18%,0.00%,0.00%,0.00%,2.41%,0.82,5.7,,,,
2016,chih,10,chih10,pri,23.42%,0.00%,27.35%,0.00%,0.00%,0.00%,3.31%,0.83,5.8,,,,
2016,chih,11,chih11,pri,38.72%,0.00%,36.67%,0.00%,0.00%,0.00%,3.92%,0.7,3.4,,,,
2016,chih,12,chih12,pri,50.79%,0.00%,19.39%,0.00%,0.00%,0.00%,2.04%,0.69,3.2,,,,
2016,chih,13,chih13,pri,34.24%,45.38%,0.00%,0.00%,0.00%,0.00%,4.48%,0.67,3,,,,
2016,chih,14,chih14,pri,47.05%,0.00%,0.00%,0.00%,32.13%,0.00%,3.52%,0.66,3,,,,
2016,chih,15,chih15,pri,59.94%,0.00%,0.00%,0.00%,21.97%,0.00%,1.77%,0.58,2.4,,,,
2016,chih,16,chih16,pri,55.89%,0.00%,0.00%,0.00%,0.00%,24.46%,2.09%,0.62,2.6,,,,
2016,chih,17,chih17,pri,53.14%,0.00%,0.00%,20.54%,0.00%,0.00%,4.25%,0.66,2.9,,,,
2016,chih,18,chih18,pri,52.24%,0.00%,0.00%,0.00%,0.00%,0.00%,1.77%,0.65,2.8,,,,
2016,chih,19,chih19,pri,43.30%,30.10%,0.00%,0.00%,0.00%,0.00%,7.45%,0.71,3.4,,,,
2016,chih,20,chih20,pri,40.79%,0.00%,0.00%,0.00%,0.00%,0.00%,6.48%,0.71,3.5,,,,
2016,chih,21,chih21,pri,35.84%,0.00%,0.00%,0.00%,0.00%,41.03%,5.33%,0.69,3.2,,,,
2016,chih,22,chih22,pri,28.09%,0.00%,52.17%,0.00%,0.00%,0.00%,4.22%,0.64,2.8,,,,
2024,cdmx,1,cdmx1,morena,10.35%,5.98%,3.08%,13.95%,18.60%,10.71%,37.34%,0.78,4.5,0.33,,,
2024,cdmx,2,cdmx2,morena,30.22%,10.08%,3.33%,9.22%,12.30%,10.24%,24.60%,0.8,5.1,0.28,,,
2024,cdmx,3,cdmx3,morena,24.15%,9.55%,3.15%,10.15%,13.54%,12.39%,27.07%,0.81,5.4,0.3,,,
2024,cdmx,4,cdmx4,morena,16.50%,10.08%,3.74%,11.58%,15.45%,11.73%,30.91%,0.81,5.4,0.34,,,
2024,cdmx,5,cdmx5,morena,29.51%,8.93%,3.11%,9.81%,13.08%,9.38%,26.19%,0.8,5,0.26,,,
2024,cdmx,6,cdmx6,morena,23.31%,11.50%,4.03%,10.11%,13.49%,10.55%,27.01%,0.82,5.5,0.35,,,
2024,cdmx,7,cdmx7,morena,11.60%,13.33%,3.07%,8.00%,7.13%,10.93%,45.94%,0.73,3.8,0.11,,,
2024,cdmx,8,cdmx8,morena,15.31%,9.09%,3.54%,11.82%,15.77%,12.74%,31.73%,0.81,5.3,0.23,,,
2024,cdmx,9,cdmx9,morena,21.14%,16.58%,3.61%,9.63%,12.84%,10.52%,25.68%,0.82,5.7,0.29,,,
2024,cdmx,10,cdmx10,morena,23.80%,11.70%,3.76%,10.14%,13.52%,10.02%,27.06%,0.82,5.4,0.35,,,
2024,cdmx,11,cdmx11,morena,21.27%,9.65%,3.53%,10.71%,14.28%,12.00%,28.57%,0.82,5.4,0.38,,,
2024,cdmx,12,cdmx12,morena,33.55%,12.33%,3.96%,8.12%,10.83%,9.53%,21.68%,0.8,4.9,0.28,,,
2024,cdmx,13,cdmx13,morena,48.80%,8.88%,2.22%,6.52%,8.69%,7.52%,17.37%,0.71,3.4,0.24,,,
2024,cdmx,14,cdmx14,morena,28.53%,8.77%,3.38%,3.56%,4.72%,8.88%,42.14%,0.72,3.6,0.17,,,
2024,cdmx,15,cdmx15,morena,25.30%,9.80%,3.27%,10.17%,13.56%,10.73%,27.18%,0.81,5.3,0.36,,,
2024,cdmx,16,cdmx16,morena,19.05%,7.94%,3.73%,11.66%,15.55%,10.95%,31.12%,0.81,5.2,0.24,,,
2024,cdmx,17,cdmx17,morena,53.22%,8.10%,2.48%,5.65%,7.53%,7.97%,15.06%,0.67,3,0.25,,,
2024,cdmx,18,cdmx18,morena,47.38%,8.77%,3.64%,6.42%,8.55%,8.12%,17.13%,0.72,3.6,0.45,,,
2024,cdmx,19,cdmx19,morena,38.23%,10.60%,3.67%,7.63%,10.18%,9.31%,20.38%,0.77,4.4,0.38,,,
2024,cdmx,20,cdmx20,morena,31.77%,10.58%,1.80%,9.03%,12.05%,10.68%,24.10%,0.8,4.9,0.31,,,
2024,cdmx,21,cdmx21,morena,16.53%,10.25%,4.78%,11.17%,14.89%,8.63%,29.95%,0.83,5.8,0.33,,,
2024,cdmx,22,cdmx22,morena,12.50%,8.57%,5.95%,12.48%,16.64%,10.58%,33.28%,0.81,5.2,0.32,,,
2024,cdmx,23,cdmx23,morena,39.99%,8.47%,3.64%,7.87%,10.49%,8.54%,21.00%,0.76,4.2,0.29,,,
2024,cdmx,24,cdmx24,morena,26.15%,9.49%,5.44%,9.76%,13.02%,9.96%,26.18%,0.81,5.4,0.3,,,
2024,cdmx,25,cdmx25,morena,20.42%,7.77%,2.88%,11.51%,15.34%,11.22%,30.86%,0.81,5.2,0.28,,,
2024,cdmx,26,cdmx26,morena,26.21%,9.34%,5.89%,9.47%,12.62%,11.22%,25.25%,0.82,5.5,0.2,,,
2024,cdmx,27,cdmx27,morena,8.48%,5.24%,4.02%,14.82%,19.75%,8.05%,39.63%,0.76,4.2,0.31,,,
2024,cdmx,28,cdmx28,morena,19.36%,7.79%,4.04%,11.82%,15.76%,9.72%,31.52%,0.81,5.2,0.32,,,
2024,cdmx,29,cdmx29,morena,11.09%,6.53%,3.10%,4.46%,7.11%,8.13%,59.59%,0.61,2.6,0.21,,,
2024,cdmx,30,cdmx30,morena,38.18%,9.97%,5.72%,7.45%,9.93%,8.85%,19.89%,0.78,4.5,0.3,,,
2024,cdmx,31,cdmx31,morena,11.15%,6.50%,2.85%,4.77%,7.32%,7.46%,59.94%,0.61,2.6,0.19,,,
2024,cdmx,32,cdmx32,morena,22.85%,8.32%,4.09%,10.97%,14.63%,9.88%,29.25%,0.81,5.3,0.38,,,
2024,cdmx,33,cdmx33,morena,21.52%,16.05%,3.27%,9.92%,13.23%,9.56%,26.45%,0.82,5.6,0.25,,,
2018,cdmx,1,cdmx1,morena,6.88%,5.50%,15.74%,2.65%,3.59%,1.80%,50.93%,0.7,3.4,,,,
2018,cdmx,2,cdmx2,morena,20.36%,10.71%,7.26%,2.10%,4.93%,1.89%,42.95%,0.75,4,,,,
2018,cdmx,3,cdmx3,morena,15.81%,9.03%,7.35%,2.77%,4.31%,2.27%,48.21%,0.72,3.6,,,,
2018,cdmx,4,cdmx4,morena,8.90%,8.81%,14.14%,2.42%,4.37%,1.87%,49.29%,0.72,3.5,,,,
2018,cdmx,5,cdmx5,morena,21.65%,9.67%,6.67%,2.24%,4.74%,2.63%,44.09%,0.74,3.8,,,,
2018,cdmx,6,cdmx6,morena,10.73%,10.13%,15.25%,2.25%,4.19%,1.98%,46.05%,0.74,3.8,,,,
2018,cdmx,7,cdmx7,morena,6.74%,9.75%,5.27%,3.23%,7.34%,8.04%,48.72%,0.73,3.7,,,,
2018,cdmx,8,cdmx8,morena,10.14%,8.91%,9.61%,2.63%,9.90%,3.53%,42.83%,0.77,4.4,,,,
2018,cdmx,9,cdmx9,morena,12.22%,13.93%,4.49%,2.49%,4.75%,2.12%,47.69%,0.73,3.7,,,,
2018,cdmx,10,cdmx10,morena,11.55%,10.36%,21.28%,2.11%,3.83%,2.10%,40.04%,0.77,4.3,,,,
2018,cdmx,11,cdmx11,morena,9.91%,8.02%,18.25%,2.36%,3.77%,2.06%,47.11%,0.72,3.6,,,,
2018,cdmx,12,cdmx12,morena,19.56%,12.36%,4.61%,2.06%,4.44%,2.00%,43.97%,0.75,3.9,,,,
2018,cdmx,13,cdmx13,morena,35.81%,12.15%,3.21%,1.91%,4.31%,1.93%,33.04%,0.74,3.9,,,,
2018,cdmx,14,cdmx14,morena,14.28%,9.23%,6.21%,2.95%,4.74%,2.27%,50.76%,0.7,3.4,,,,
2018,cdmx,15,cdmx15,morena,12.04%,9.03%,15.81%,2.18%,4.05%,1.65%,45.67%,0.74,3.8,,,,
2018,cdmx,16,cdmx16,morena,22.18%,10.84%,4.56%,2.15%,4.67%,1.92%,42.84%,0.75,4,,,,
2018,cdmx,17,cdmx17,morena,38.52%,12.72%,2.43%,1.37%,3.93%,1.57%,31.01%,0.74,3.8,,,,
2018,cdmx,18,cdmx18,morena,11.70%,9.12%,15.56%,2.64%,3.84%,2.17%,45.51%,0.74,3.9,,,,
2018,cdmx,19,cdmx19,morena,11.02%,8.16%,6.88%,3.23%,6.57%,2.42%,49.58%,0.72,3.6,,,,
2018,cdmx,20,cdmx20,morena,21.74%,22.80%,6.05%,2.07%,3.34%,1.85%,34.39%,0.78,4.5,,,,
2018,cdmx,21,cdmx21,morena,8.77%,7.28%,18.97%,2.78%,3.89%,2.26%,46.23%,0.73,3.7,,,,
2018,cdmx,22,cdmx22,morena,7.57%,7.45%,18.64%,3.07%,3.45%,2.74%,48.09%,0.72,3.6,,,,
2018,cdmx,23,cdmx23,morena,25.81%,10.50%,10.62%,2.16%,4.10%,2.05%,36.70%,0.77,4.4,,,,
2018,cdmx,24,cdmx24,morena,14.08%,8.88%,13.42%,2.75%,4.65%,2.68%,43.60%,0.76,4.1,,,,
2018,cdmx,25,cdmx25,morena,10.48%,8.25%,7.22%,3.55%,5.41%,2.43%,45.65%,0.76,4.1,,,,
2018,cdmx,26,cdmx26,morena,29.31%,11.08%,5.02%,1.58%,3.67%,1.56%,33.89%,0.78,4.5,,,,
2018,cdmx,27,cdmx27,morena,5.54%,4.98%,18.21%,3.50%,3.17%,2.72%,51.75%,0.69,3.2,,,,
2018,cdmx,28,cdmx28,morena,10.66%,7.34%,14.74%,3.10%,4.15%,2.48%,47.88%,0.73,3.7,,,,
2018,cdmx,29,cdmx29,morena,6.31%,5.51%,18.81%,3.47%,3.51%,2.03%,50.63%,0.7,3.3,,,,
2018,cdmx,30,cdmx30,morena,22.85%,10.25%,14.59%,2.05%,3.93%,1.83%,36.13%,0.78,4.6,,,,
2018,cdmx,31,cdmx31,morena,7.35%,6.03%,16.76%,3.33%,3.62%,1.94%,50.23%,0.71,3.4,,,,
2018,cdmx,32,cdmx32,morena,10.40%,6.75%,20.88%,2.19%,3.14%,1.74%,45.25%,0.73,3.7,,,,
2018,cdmx,33,cdmx33,morena,14.55%,17.96%,3.19%,2.48%,4.20%,3.74%,45.49%,0.73,3.8,,,,
2018,col,1,col1,pri,19.91%,20.16%,1.56%,3.13%,3.27%,12.19%,30.30%,0.81,5.2,,,,
2018,col,2,col2,pri,22.01%,18.62%,1.49%,2.10%,5.75%,10.27%,24.59%,0.83,6,,,,
2018,col,3,col3,pri,20.59%,24.08%,1.72%,4.43%,2.24%,8.94%,29.84%,0.8,4.9,,,,
2018,col,4,col4,pri,24.35%,25.66%,1.22%,3.50%,1.49%,9.95%,25.06%,0.8,4.9,,,,
2018,col,5,col5,pri,18.28%,26.55%,1.26%,4.41%,1.48%,10.35%,28.13%,0.8,5,,,,
2018,col,6,col6,pri,26.08%,24.50%,1.25%,2.58%,1.46%,5.63%,20.75%,0.81,5.3,,,,
2018,col,7,col7,pri,11.36%,19.87%,1.40%,4.02%,5.69%,11.36%,34.15%,0.81,5.1,,,,
2018,col,8,col8,pri,11.73%,19.09%,1.10%,3.60%,2.13%,10.10%,35.34%,0.8,5.1,,,,
2018,col,9,col9,pri,10.13%,17.20%,2.43%,3.81%,12.29%,2.20%,33.98%,0.81,5.3,,,,
2018,col,10,col10,pri,18.78%,23.09%,1.51%,3.20%,3.35%,4.01%,37.14%,0.77,4.3,,,,
2018,col,11,col11,pri,10.64%,10.76%,1.02%,5.04%,14.11%,6.24%,43.49%,0.76,4.2,,,,
2018,col,12,col12,pri,12.50%,7.98%,0.78%,3.27%,13.64%,8.15%,43.78%,0.76,4.1,,,,
2018,col,13,col13,pri,14.67%,9.46%,1.16%,2.72%,18.77%,3.73%,38.50%,0.78,4.6,,,,
2018,col,14,col14,pri,12.38%,18.04%,1.38%,6.63%,13.32%,6.07%,33.34%,0.81,5.4,,,,
2018,col,15,col15,pri,16.88%,29.33%,1.47%,3.85%,2.71%,3.63%,34.82%,0.76,4.2,,,,
2018,col,16,col16,pri,18.47%,26.64%,1.57%,5.00%,4.16%,1.88%,31.21%,0.79,4.8,,,,
2024,col,1,col1,morena,21.74%,13.49%,1.40%,2.51%,6.42%,15.07%,28.25%,0.83,5.7,0.09,,,
2024,col,2,col2,morena,16.45%,14.43%,1.74%,2.75%,3.21%,19.68%,29.37%,0.82,5.6,0.14,,,
2024,col,3,col3,morena,11.05%,11.18%,1.27%,3.56%,4.55%,18.97%,39.06%,0.78,4.6,0.23,,,
2024,col,4,col4,morena,15.00%,19.16%,1.37%,4.19%,5.82%,7.23%,30.51%,0.83,6,0.15,,,
2024,col,5,col5,morena,13.97%,15.01%,3.49%,4.11%,4.08%,17.09%,32.50%,0.82,5.5,0.16,,,
2024,col,6,col6,morena,20.10%,25.90%,1.93%,2.66%,2.68%,6.18%,29.65%,0.8,4.9,0.09,,,
2024,col,7,col7,morena,18.55%,18.78%,2.33%,3.00%,3.86%,8.60%,29.02%,0.83,5.9,0.1,,,
2024,col,8,col8,morena,12.63%,18.14%,2.97%,3.52%,3.08%,14.78%,29.25%,0.83,6.1,0.08,,,
2024,col,9,col9,morena,4.23%,4.64%,8.92%,2.66%,12.62%,9.74%,39.82%,0.79,4.8,0.2,,,
2024,col,10,col10,morena,7.79%,14.71%,2.32%,2.62%,4.38%,11.03%,43.02%,0.77,4.3,0.17,,,
2024,col,11,col11,morena,10.20%,7.01%,8.30%,3.05%,5.46%,15.73%,41.40%,0.78,4.5,0.17,,,
2024,col,12,col12,morena,15.15%,8.95%,2.24%,1.74%,5.66%,19.26%,35.47%,0.8,5,0.17,,,
2024,col,13,col13,morena,11.17%,11.00%,0.81%,2.14%,6.07%,13.63%,43.57%,0.76,4.2,0.17,,,
2024,col,14,col14,morena,6.47%,12.24%,1.25%,3.11%,8.47%,10.50%,45.45%,0.75,4,0.18,,,
2024,col,15,col15,morena,7.58%,15.43%,4.31%,4.84%,0.00%,10.11%,50.98%,0.7,3.3,0.26,,,
2024,col,16,col16,morena,5.46%,8.72%,2.06%,4.20%,0.00%,8.92%,42.14%,0.76,4.2,0.27,,,
2024,dur ,1,dur 1,pri,25.23%,23.78%,2.29%,6.44%,5.25%,9.28%,27.73%,0.79,4.7,0.14,,,
2024,dur ,2,dur 2,pri,18.14%,22.87%,2.23%,6.24%,6.13%,12.72%,31.66%,0.79,4.8,0.14,,,
2024,dur ,3,dur 3,pri,16.24%,25.19%,2.31%,7.29%,5.31%,10.08%,33.58%,0.78,4.5,0.14,,,
2024,dur ,4,dur 4,pri,16.76%,28.15%,2.21%,6.89%,4.37%,8.35%,33.28%,0.77,4.3,0.19,,,
2024,dur ,5,dur 5,pri,21.30%,20.37%,1.75%,4.04%,3.41%,23.34%,25.79%,0.79,4.7,0.18,,,
2024,dur ,6,dur 6,pri,21.33%,21.95%,1.83%,5.23%,3.32%,7.57%,38.76%,0.75,3.9,0.17,,,
2024,dur ,7,dur 7,pri,26.21%,16.58%,1.78%,2.15%,5.75%,1.74%,45.78%,0.69,3.2,0.24,,,
2024,dur ,8,dur 8,pri,13.12%,22.61%,5.51%,3.03%,9.58%,5.18%,40.96%,0.75,4,0.22,,,
2024,dur ,9,dur 9,pri,10.79%,23.97%,5.97%,5.05%,4.24%,3.23%,46.76%,0.7,3.4,0.15,,,
2024,dur ,10,dur 10,pri,5.04%,27.29%,1.58%,3.88%,3.69%,4.94%,53.58%,0.63,2.7,0.17,,,
2024,dur ,11,dur 11,pri,10.96%,26.78%,1.66%,5.34%,3.33%,12.66%,39.27%,0.74,3.9,0.12,,,
2024,dur ,12,dur 12,pri,10.64%,25.71%,1.58%,3.36%,3.46%,9.80%,45.45%,0.7,3.4,0.12,,,
2024,dur ,13,dur 13,pri,11.23%,33.00%,1.72%,2.95%,4.29%,4.28%,42.53%,0.69,3.3,0.18,,,
2024,dur ,14,dur 14,pri,9.81%,17.23%,7.77%,8.25%,11.31%,4.89%,40.75%,0.77,4.3,0.21,,,
2024,dur ,15,dur 15,pri,5.92%,36.81%,2.08%,5.27%,4.00%,1.87%,44.04%,0.66,3,0.26,,,
2018,dur,1,dur1,pan,18.08%,16.94%,6.02%,11.24%,4.44%,8.31%,23.90%,0.85,6.7,,,,
2018,dur,2,dur2,pan,18.41%,18.57%,4.60%,10.98%,3.84%,6.30%,23.62%,0.85,6.7,,,,
2018,dur,3,dur3,pan,18.35%,23.38%,5.61%,10.42%,3.55%,6.04%,21.63%,0.84,6.3,,,,
2018,dur,4,dur4,pan,18.06%,16.21%,5.52%,11.78%,3.07%,6.38%,20.36%,0.86,7.4,,,,
2018,dur,5,dur5,pan,19.55%,18.55%,7.20%,8.98%,5.53%,7.06%,21.89%,0.85,6.8,,,,
2018,dur,6,dur6,pan,18.40%,23.50%,5.11%,8.77%,5.20%,1.81%,23.55%,0.84,6.1,,,,
2018,dur,7,dur7,pan,18.10%,27.88%,6.03%,5.64%,3.12%,1.47%,27.74%,0.8,5,,,,
2018,dur,8,dur8,pan,20.56%,28.22%,7.19%,5.91%,2.91%,1.13%,24.30%,0.8,5.1,,,,
2018,dur,9,dur9,pan,17.13%,26.45%,4.53%,6.57%,1.93%,1.85%,32.22%,0.79,4.7,,,,
2018,dur,10,dur10,pan,14.50%,19.21%,3.11%,4.94%,2.17%,5.31%,40.79%,0.77,4.3,,,,
2018,dur,11,dur11,pan,16.05%,22.37%,3.01%,4.20%,3.54%,2.26%,40.37%,0.75,4.1,,,,
2018,dur,12,dur12,pan,16.47%,21.47%,3.09%,4.47%,3.41%,2.46%,40.77%,0.75,4.1,,,,
2018,dur,13,dur13,pan,16.04%,21.31%,3.51%,4.16%,2.24%,1.37%,30.88%,0.81,5.2,,,,
2018,dur,14,dur14,pan,16.57%,23.95%,4.66%,6.91%,11.63%,3.20%,18.02%,0.85,6.7,,,,
2018,dur,15,dur15,pan,9.00%,42.73%,2.00%,9.27%,13.76%,2.54%,15.68%,0.76,4.1,,,,
2024,gto,1,gto1,pan,44.35%,8.10%,1.05%,3.36%,10.88%,7.83%,20.69%,0.73,3.8,0.2,,,
2024,gto,2,gto2,pan,32.35%,18.97%,2.79%,2.67%,7.55%,4.91%,30.76%,0.76,4.1,0.18,,,
2024,gto,3,gto3,pan,61.26%,3.84%,0.61%,1.09%,3.36%,6.83%,23.01%,0.56,2.3,0.24,,,
2024,gto,4,gto4,pan,50.89%,4.01%,0.63%,1.41%,4.20%,7.25%,31.60%,0.63,2.7,0.22,,,
2024,gto,5,gto5,pan,52.34%,3.37%,0.63%,1.23%,4.12%,7.97%,30.34%,0.62,2.7,0.19,,,
2024,gto,6,gto6,pan,50.42%,4.82%,0.60%,1.39%,3.88%,6.83%,29.64%,0.65,2.8,0.18,,,
2024,gto,7,gto7,pan,55.58%,4.09%,0.65%,2.31%,4.09%,6.76%,26.52%,0.61,2.6,0.18,,,
2024,gto,8,gto8,pan,44.82%,5.03%,1.18%,2.28%,4.97%,7.08%,34.65%,0.67,3,0.23,,,
2024,gto,9,gto9,pan,28.26%,19.49%,0.00%,3.93%,3.68%,8.33%,32.50%,0.77,4.3,0.17,,,
2024,gto,10,gto10,pan,35.33%,21.66%,0.67%,1.23%,4.94%,6.35%,29.82%,0.73,3.7,0.15,,,
2024,gto,11,gto11,pan,49.27%,4.03%,0.67%,2.02%,3.07%,7.23%,33.71%,0.64,2.7,0.3,,,
2024,gto,12,gto12,pan,36.49%,4.12%,0.97%,1.82%,3.03%,8.86%,42.07%,0.68,3.1,0.27,,,
2024,gto,13,gto13,pan,23.07%,6.28%,0.72%,2.52%,4.78%,14.87%,44.76%,0.72,3.5,0.29,,,
2024,gto,14,gto14,pan,34.44%,2.82%,0.96%,2.36%,3.38%,7.45%,44.45%,0.68,3.1,0.28,,,
2024,gto,15,gto15,pan,35.81%,6.05%,0.87%,1.97%,4.45%,8.23%,39.81%,0.7,3.3,0.12,,,
2024,gto,16,gto16,pan,28.09%,3.99%,0.74%,1.77%,4.13%,8.92%,48.35%,0.68,3.1,0.28,,,
2024,gto,17,gto17,pan,32.44%,5.33%,5.40%,2.34%,8.60%,5.23%,38.85%,0.73,3.7,0.15,,,
2024,gto,18,gto18,pan,46.58%,9.09%,0.57%,1.44%,4.99%,4.93%,30.28%,0.68,3.1,0.21,,,
2024,gto,19,gto19,pan,29.74%,10.68%,1.85%,4.25%,6.56%,7.51%,38.83%,0.74,3.8,0.21,,,
2024,gto,20,gto20,pan,26.98%,5.48%,1.53%,3.93%,14.77%,14.92%,31.51%,0.78,4.5,0.32,,,
2024,gto,21,gto21,pan,52.68%,3.87%,0.66%,1.52%,4.02%,8.78%,28.46%,0.63,2.7,0.33,,,
2024,gto,22,gto22,pan,34.66%,10.53%,1.45%,2.16%,4.24%,6.01%,38.33%,0.72,3.5,0.25,,,
2018,gto,1,gto1,pan,31.89%,23.06%,3.24%,1.86%,15.30%,5.92%,10.21%,0.8,5.1,,,,
2018,gto,2,gto2,pan,36.67%,16.32%,3.86%,2.08%,7.47%,6.27%,20.52%,0.78,4.6,,,,
2018,gto,3,gto3,pan,60.72%,9.08%,1.00%,1.52%,8.57%,2.23%,12.77%,0.6,2.5,,,,
2018,gto,4,gto4,pan,51.14%,12.80%,1.44%,1.98%,9.15%,2.32%,16.21%,0.69,3.2,,,,
2018,gto,5,gto5,pan,54.42%,11.21%,1.17%,1.90%,8.97%,2.58%,14.97%,0.66,2.9,,,,
2018,gto,6,gto6,pan,52.82%,13.84%,1.26%,2.18%,9.52%,2.20%,14.18%,0.67,3,,,,
2018,gto,7,gto7,pan,55.29%,11.33%,0.97%,1.69%,9.35%,2.24%,14.58%,0.65,2.9,,,,
2018,gto,8,gto8,pan,31.42%,20.74%,3.03%,2.69%,11.45%,3.28%,19.25%,0.8,5.1,,,,
2018,gto,9,gto9,pan,36.32%,13.46%,1.91%,2.19%,13.09%,2.46%,22.40%,0.78,4.5,,,,
2018,gto,10,gto10,pan,48.86%,25.16%,1.12%,1.15%,9.93%,2.26%,8.60%,0.68,3.1,,,,
2018,gto,11,gto11,pan,44.85%,17.87%,1.59%,2.41%,5.12%,1.93%,20.45%,0.72,3.6,,,,
2018,gto,12,gto12,pan,38.48%,16.39%,1.47%,2.65%,5.54%,2.24%,26.46%,0.75,4,,,,
2018,gto,13,gto13,pan,31.71%,21.55%,1.68%,2.17%,10.21%,2.05%,22.97%,0.79,4.7,,,,
2018,gto,14,gto14,pan,33.74%,10.62%,2.18%,3.38%,7.38%,2.73%,33.51%,0.75,4.1,,,,
2018,gto,15,gto15,pan,40.02%,12.21%,1.43%,2.58%,8.47%,3.70%,23.90%,0.76,4.1,,,,
2018,gto,16,gto16,pan,33.34%,11.51%,1.40%,2.36%,6.47%,2.84%,23.58%,0.8,4.9,,,,
2018,gto,17,gto17,pan,31.34%,7.79%,9.42%,1.48%,9.88%,2.79%,20.83%,0.82,5.5,,,,
2018,gto,18,gto18,pan,34.09%,21.82%,2.33%,2.30%,9.13%,2.67%,21.78%,0.78,4.5,,,,
2018,gto,19,gto19,pan,32.34%,13.56%,15.95%,2.24%,7.77%,3.47%,16.37%,0.81,5.4,,,,
2018,gto,20,gto20,pan,33.62%,20.38%,4.90%,2.13%,13.27%,3.10%,18.48%,0.79,4.7,,,,
2018,gto,21,gto21,pan,51.59%,9.75%,0.94%,1.75%,10.06%,2.47%,17.13%,0.68,3.1,,,,
2018,gto,22,gto22,pan,26.10%,17.12%,7.38%,2.23%,8.69%,8.14%,24.38%,0.82,5.6,,,,
2024,gro,1,gro1,morena,5.36%,11.65%,6.17%,4.17%,5.67%,14.80%,42.61%,0.77,4.3,0.3,,,
2024,gro,2,gro2,morena,4.54%,17.96%,11.40%,3.44%,5.34%,11.59%,37.89%,0.79,4.8,0.28,,,
2024,gro,3,gro3,morena,7.94%,9.53%,2.70%,3.91%,7.90%,9.69%,49.51%,0.72,3.6,0.22,,,
2024,gro,4,gro4,morena,4.90%,7.39%,2.59%,4.23%,6.32%,9.36%,55.36%,0.67,3,0.19,,,
2024,gro,5,gro5,morena,2.19%,4.49%,1.94%,4.79%,10.23%,9.67%,56.48%,0.65,2.9,0.19,,,
2024,gro,6,gro6,morena,4.45%,4.12%,1.80%,4.76%,8.16%,5.86%,61.01%,0.61,2.6,0.24,,,
2024,gro,7,gro7,morena,3.72%,5.90%,1.68%,5.66%,6.94%,9.05%,57.70%,0.64,2.8,0.38,,,
2024,gro,8,gro8,morena,1.99%,12.27%,6.67%,6.70%,7.23%,3.57%,54.82%,0.67,3,0.31,,,
2024,gro,9,gro9,morena,1.64%,4.58%,1.79%,4.23%,22.72%,4.48%,49.72%,0.69,3.2,0.34,,,
2024,gro,10,gro10,morena,1.89%,12.10%,7.09%,7.52%,7.05%,5.17%,52.29%,0.69,3.2,0.24,,,
2024,gro,11,gro11,morena,1.70%,13.94%,4.65%,3.16%,4.21%,3.22%,65.56%,0.54,2.2,0.31,,,
2024,gro,12,gro12,morena,1.77%,15.93%,17.91%,2.63%,4.89%,2.68%,50.67%,0.68,3.1,0.33,,,
2024,gro,13,gro13,morena,6.78%,11.42%,6.15%,3.10%,19.98%,26.46%,23.94%,0.81,5.3,0.35,,,
2024,gro,14,gro14,morena,1.49%,2.94%,31.53%,6.71%,21.66%,3.35%,26.92%,0.77,4.4,0.52,,,
2024,gro,15,gro15,morena,4.75%,11.64%,5.25%,16.51%,16.37%,2.70%,32.86%,0.82,5.4,0.28,,,
2024,gro,16,gro16,morena,0.99%,31.75%,2.46%,4.19%,11.98%,1.60%,42.13%,0.7,3.4,0.2,,,
2024,gro,17,gro17,morena,1.38%,31.98%,16.25%,3.34%,2.17%,1.17%,42.66%,0.69,3.2,0.24,,,
2024,gro,18,gro18,morena,1.77%,68.49%,2.07%,1.75%,2.04%,1.56%,21.53%,0.48,1.9,0.09,,,
2024,gro,19,gro19,morena,9.91%,25.20%,7.31%,12.51%,4.94%,5.49%,29.84%,0.81,5.3,0.26,,,
2024,gro,20,gro20,morena,8.22%,12.99%,28.25%,6.19%,3.73%,6.86%,31.33%,0.79,4.7,0.42,,,
2024,gro,21,gro21,morena,12.84%,12.40%,2.33%,3.85%,14.93%,19.99%,26.54%,0.83,6,0.29,,,
2024,gro,22,gro22,morena,3.97%,18.25%,5.01%,4.79%,9.08%,7.27%,40.08%,0.78,4.6,0.24,,,
2024,gro,23,gro23,morena,11.33%,8.81%,1.28%,7.45%,8.00%,16.69%,37.65%,0.8,4.9,0.25,,,
